,Steam,Team,Name,ppR,GP,Rating,K/R,ADR,KAST,ODR,Impact,CT #,T #,ADP,UD,EF,F_Assists,Util,HS,awp/R,multi/R,clutch/R,SuppR,SuppXr,oda/R,entries/R,trades/R,TRatio,saves/R,SRate,2k,3k,4k,5k,1v1,1v2,1v3,1v4,1v5,Rounds,,Peak,Pit,Form,CONCY,Kills,Assists,Deaths,MIP/r,IWR,KPA,RWK,Xdiff,ea/R,ATD,ctADP,tADP,EF/F,Blind/EF,X/nade,AWP/ctr,K/ctr,lurks/tR,wlp/L,Tier,MMR
,sid76561198244135310,Caracals,fivethree_cs,RIFLER,6,1.11,0.77,85,0.70,0.47,1.15,1.12,1.13,2.6,86,8,0.4,54,28,0.14,0.27,0.03,0.17,13,0.21,0.05,0.07,0.15,0.01,0.30,23,9,0,0,1,0,1,0,0,154,,1.28,0.85,0.99,0.17,119,26,108,0.14,0.72,1.13,0.51,4,0.24,34,2.5,2.7,0.46,3.2,11,0.18,0.84,0.09,2.19,Prospect,300
,sid76561198848888610,Hawks,Nitro Anh,AWPER,6,1.10,0.79,81,0.77,0.63,1.09,0.98,1.20,2.4,98,12,0.8,55,20,0.36,0.27,0.03,0.18,12,0.29,0.08,0.12,0.17,0.01,0.39,24,6,1,0,3,1,0,0,0,146,,1.33,0.88,1.25,0.16,115,25,89,0.17,0.78,1.20,0.52,12,0.23,26,2.3,2.6,0.63,3.1,10,0.25,0.71,0.18,1.84,Prospect,300
,sid76561198040464207,Hawks,danthompson,SUPPORT,6,1.10,0.77,87,0.86,0.65,1.06,0.99,1.18,2.6,74,11,1.4,61,38,0.00,0.24,0.02,0.29,24,0.14,0.05,0.16,0.24,0.01,0.36,22,5,1,0,1,1,0,0,0,146,,1.37,0.88,1.08,0.17,112,46,94,0.12,0.68,1.18,0.53,13,0.16,31,2.4,2.7,0.49,3.4,11,0.00,0.70,0.04,0.06,Prospect,300
,sid76561198060084529,PFA,Legend,-,2,1.10,0.73,87,0.84,0.75,1.01,0.85,1.22,3.1,264,11,0.6,73,58,0.00,0.24,0.04,0.22,22,0.16,0.06,0.04,0.27,0.04,0.47,6,3,0,0,0,1,0,0,0,49,,1.28,0.97,1.13,0.16,36,11,26,0.14,0.68,1.18,0.49,22,0.13,30,3.2,3.0,0.47,3.4,9,0.00,0.58,0.13,1.45,Prospect,300
,sid76561198120477567,FA,honorknees,SUPPORT,3,1.09,0.76,84,0.76,0.54,1.05,0.93,1.35,3.0,63,4,1.3,27,37,0.00,0.27,0.05,0.20,17,0.14,0.01,0.15,0.24,0.07,0.26,9,4,1,1,1,2,0,0,0,92,,1.34,0.76,1.09,0.24,70,18,68,0.09,0.47,1.21,0.50,3,0.07,41,2.6,3.3,0.57,3.5,13,0.00,0.61,0.02,0.00,Prospect,300
,sid76561199087656851,Caracals,SwaeyZeey,AWPER,4,1.07,0.73,78,0.81,0.56,1.09,1.02,1.14,2.8,38,17,0.6,67,32,0.22,0.18,0.06,0.14,12,0.25,0.05,0.15,0.16,0.02,0.30,12,3,0,0,1,0,0,1,0,100,,1.51,0.74,1.17,0.28,73,16,70,0.12,0.58,1.28,0.55,3,0.17,35,2.9,2.8,0.55,3.5,0,0.28,0.72,0.02,0.50,Prospect,300
,sid76561198892347733,FA,Wojtek,ENTRY,3,1.07,0.71,82,0.64,0.38,1.22,0.90,1.18,2.3,64,6,1.8,21,30,0.00,0.29,0.05,0.22,19,0.20,0.06,0.20,0.16,0.00,0.23,7,3,2,0,0,0,1,0,0,65,,1.15,0.98,1.08,0.07,46,14,50,0.14,0.75,1.25,0.42,-4,0.26,33,2.9,2.2,0.78,3.7,49,0.00,0.61,0.05,3.79,Prospect,300
,sid76561198307967703,Barbarians,zac083,RIFLER,6,1.04,0.68,78,0.71,0.61,1.05,1.06,1.01,2.5,144,13,0.7,54,40,0.00,0.19,0.02,0.20,18,0.23,0.07,0.10,0.18,0.03,0.26,16,6,1,0,1,1,0,0,0,163,,1.43,0.47,1.05,0.34,111,33,120,0.10,0.64,1.26,0.49,0,0.22,39,2.1,2.9,0.90,3.4,16,0.00,0.78,0.07,0.84,Prospect,300
,sid76561198082478263,Tanukis,Lines,RIFLER,6,1.02,0.69,78,0.77,0.64,0.95,1.19,0.69,2.5,230,5,0.0,55,34,0.08,0.18,0.02,0.21,21,0.16,0.01,0.06,0.11,0.01,0.44,15,5,0,0,1,1,0,0,0,140,,1.35,0.73,1.17,0.22,97,30,79,0.11,0.81,1.09,0.51,14,0.07,30,2.4,2.5,0.43,3.0,12,0.13,0.91,0.07,0.92,Prospect,300
,sid76561198050799867,Ronin,RoobyRacks,ENTRY,6,1.01,0.67,80,0.72,0.56,1.03,1.05,0.97,2.4,83,14,0.4,56,37,0.01,0.21,0.03,0.21,19,0.27,0.08,0.09,0.23,0.02,0.23,15,4,3,0,1,0,1,0,0,150,,1.45,0.70,1.00,0.25,101,32,115,0.11,0.70,1.22,0.46,-1,0.29,38,2.5,2.2,0.77,3.5,6,0.00,0.72,0.05,1.72,Prospect,300
